matchup,ticket_price
Dallas Wings vs Washington Mystics,123.66666666666667
Golden State Valkyries vs Indiana Fever,111.0
Atlanta Dream vs Dallas Wings,104.0
Dallas Wings vs Indiana Fever,95.75
Chicago Sky vs Dallas Wings,88.66666666666667
Dallas Wings vs Minnesota Lynx,85.75
Indiana Fever vs New York Liberty,82.5
Chicago Sky vs Minnesota Lynx,81.25
Golden State Valkyries vs Minnesota Lynx,79.25
Minnesota Lynx vs Washington Mystics,74.33333333333333
Minnesota Lynx vs New York Liberty,73.25
Connecticut Sun vs Dallas Wings,72.66666666666667
Indiana Fever vs Minnesota Lynx,72.33333333333333
Indiana Fever vs Washington Mystics,71.25
Dallas Wings vs New York Liberty,68.33333333333333
Connecticut Sun vs Indiana Fever,67.5
Chicago Sky vs Washington Mystics,67.25
Connecticut Sun vs Minnesota Lynx,66.0
Chicago Sky vs Indiana Fever,61.4
Indiana Fever vs Seattle Storm,61.0
Minnesota Lynx vs Phoenix Mercury,59.75
Los Angeles Sparks vs Minnesota Lynx,59.0
Las Vegas Aces vs Minnesota Lynx,59.0
Atlanta Dream vs Minnesota Lynx,56.666666666666664
Chicago Sky vs Los Angeles Sparks,56.666666666666664
Dallas Wings vs Los Angeles Sparks,56.25
Golden State Valkyries vs Los Angeles Sparks,55.75
Atlanta Dream vs Indiana Fever,55.5
Atlanta Dream vs Chicago Sky,54.5
Dallas Wings vs Golden State Valkyries,53.75
Indiana Fever vs Los Angeles Sparks,53.5
Minnesota Lynx vs Seattle Storm,53.5
Dallas Wings vs Phoenix Mercury,48.0
Chicago Sky vs Golden State Valkyries,48.0
Indiana Fever vs Las Vegas Aces,47.333333333333336
Las Vegas Aces vs New York Liberty,46.666666666666664
Dallas Wings vs Las Vegas Aces,45.5
Dallas Wings vs Seattle Storm,45.0
Las Vegas Aces vs Washington Mystics,44.0
Atlanta Dream vs Washington Mystics,43.75
Golden State Valkyries vs Washington Mystics,43.25
Chicago Sky vs New York Liberty,40.5
Seattle Storm vs Washington Mystics,40.333333333333336
Indiana Fever vs Phoenix Mercury,38.666666666666664
Los Angeles Sparks vs Washington Mystics,35.75
Phoenix Mercury vs Washington Mystics,35.333333333333336
Atlanta Dream vs New York Liberty,35.0
Golden State Valkyries vs Las Vegas Aces,34.25
Chicago Sky vs Phoenix Mercury,33.75
Golden State Valkyries vs New York Liberty,33.25
Atlanta Dream vs Los Angeles Sparks,32.666666666666664
New York Liberty vs Washington Mystics,32.5
Chicago Sky vs Connecticut Sun,31.75
Chicago Sky vs Las Vegas Aces,31.666666666666668
Connecticut Sun vs New York Liberty,30.0
Atlanta Dream vs Golden State Valkyries,29.333333333333332
Los Angeles Sparks vs New York Liberty,29.0
Connecticut Sun vs Washington Mystics,27.75
Las Vegas Aces vs Los Angeles Sparks,27.0
Atlanta Dream vs Las Vegas Aces,27.0
Golden State Valkyries vs Seattle Storm,26.75
Chicago Sky vs Seattle Storm,26.333333333333332
Connecticut Sun vs Golden State Valkyries,26.0
Los Angeles Sparks vs Phoenix Mercury,24.25
Atlanta Dream vs Seattle Storm,24.0
Los Angeles Sparks vs Seattle Storm,23.75
New York Liberty vs Seattle Storm,23.333333333333332
Connecticut Sun vs Los Angeles Sparks,23.0
Atlanta Dream vs Connecticut Sun,22.6
Golden State Valkyries vs Phoenix Mercury,22.5
Atlanta Dream vs Phoenix Mercury,21.333333333333332
New York Liberty vs Phoenix Mercury,17.75
Phoenix Mercury vs Seattle Storm,17.0
Las Vegas Aces vs Seattle Storm,16.0
Connecticut Sun vs Las Vegas Aces,15.5
Connecticut Sun vs Phoenix Mercury,14.0
Las Vegas Aces vs Phoenix Mercury,13.5
Connecticut Sun vs Seattle Storm,13.5
